template,domain,name,service_name,address,phone,email,site_title,meta_title,meta_description,logo_url
agency-template,bowplumbingservices.co.uk,San Antonio AC,ac repair,"{""street"":""1616 Riverwalk"",""city"":""San Antonio"",""state"":""TX"",""country"":""US""}",210-555-1616,ac@sanantonioac.com,San Antonio AC in San Antonio,San Antonio's AC Pros,"AC services in San Antonio, TX.",elite_electronics_logo.png
astropie-template,dirkunblockdrainsbow.co.uk,Cleveland Auto,auto repair,"{""street"":""1717 Euclid Ave"",""city"":""Cleveland"",""state"":""OH"",""country"":""US""}",216-555-1717,auto@clevelandauto.com,Cleveland Auto in Cleveland,Cleveland's Trusted Auto Repair,"Auto repair in Cleveland, OH.",wizard_logo.jpeg
base-template,nsqboilerrepairsbow.co.uk,Sacramento Roofing,roofing,"{""street"":""1818 Capitol Mall"",""city"":""Sacramento"",""state"":""CA"",""country"":""US""}",916-555-1818,roof@sacramentoroofing.com,Sacramento Roofing in Sacramento,Sacramento's Top Roofing,"Roofing in Sacramento, CA.",abele_logo_images.png
idol-template,plumbersbow.co.uk,New York Cleaners,cleaning,"{""street"":""1919 Broadway"",""city"":""New York"",""state"":""NY"",""country"":""US""}",212-555-1919,clean@newyorkcleaners.com,New York Cleaners in New York,NYC's Best Cleaners,"Cleaning in New York, NY.",luminious_logo.png
kreativ-template,miami.plumbersbow.co.uk,Miami Plumbing,plumbing,"{""street"":""2121 Ocean Dr"",""city"":""Miami"",""state"":""FL"",""country"":""US""}",305-555-2121,plumb@miamiplumbing.com,Miami Plumbing in Miami,Miami's Top Plumbers,"Plumbing services in Miami, FL.",Star-Electric-logo.png
preline-template,dallas.plumbersbow.co.uk,Dallas HVAC,hvac,"{""street"":""2222 Main St"",""city"":""Dallas"",""state"":""TX"",""country"":""US""}",214-555-2222,hvac@dallashvac.com,Dallas HVAC in Dallas,Dallas HVAC Experts,"HVAC services in Dallas, TX.",All-star-Electric.webp
agency-template,chicago.plumbersbow.co.uk,Chicago Electric,electrical,"{""street"":""2323 Michigan Ave"",""city"":""Chicago"",""state"":""IL"",""country"":""US""}",312-555-2323,electric@chicagoelectric.com,Chicago Electric in Chicago,Chicago's Best Electricians,"Electrical services in Chicago, IL.",flash-electrician-logo.jpg
astropie-template,phoenix.testing.danger.plumbersbow.co.uk,Phoenix Solar,solar,"{""street"":""2424 Desert Ridge"",""city"":""Phoenix"",""state"":""AZ"",""country"":""US""}",602-555-2424,solar@phoenixsolar.com,Phoenix Solar in Phoenix,Phoenix Solar Experts,"Solar installation in Phoenix, AZ.",elite_electronics_logo.png
base-template,smitdrainageservicesbow.co.uk,Seattle Roofers,roofing,"{""street"":""2020 Rainier Ave"",""city"":""Seattle"",""state"":""WA"",""country"":""US""}",206-555-2020,roof@seattleroofers.com,Seattle Roofers in Seattle,Seattle's Roofing Pros,"Roofing in Seattle, WA.",abele_logo_images.png
idol-template,rejoan.co.uk,Seattle Roofers,roofing,"{""street"":""2020 Rainier Ave"",""city"":""Seattle"",""state"":""WA"",""country"":""US""}",206-555-2020,roof@seattleroofers.com,Seattle Roofers in Seattle,Seattle's Roofing Pros,"Roofing in Seattle, WA.",abele_logo_images.png
