domain,name,service_name,address,phone,email,site_title,meta_title,meta_description,logo_url
austindetailing.com,Austin Detailing,electrician,"{""street"":""1234 Barton Springs Rd"",""city"":""Austin"",""state"":""TX"",""country"":""US""}",512-555-0198,contact@austindetailing.com,Austin Detailing in Austin,"Austin's Premier Detailing Service","Professional auto detailing services in Austin, TX.",austin-logo.png
minneapoliswindows.com,Minneapolis Window Repair,window repair,"{""street"":""777 Lake St"",""city"":""Minneapolis"",""state"":""MN"",""country"":""US""}",612-555-3322,fix@minneapoliswindows.com,Minneapolis Window Repair in Minneapolis,"Minneapolis Window Repair Experts","Window repair and replacement services in Minneapolis, MN.",wizard_logo.jpeg
houstonplumbers.com,Houston Plumbers,plumber,"{""street"":""1010 Main St"",""city"":""Houston"",""state"":""TX"",""country"":""US""}",713-555-0101,info@houstonplumbers.com,Houston Plumbers in Houston,"Houston's Trusted Plumbers","Expert plumbing services in Houston, TX.",houston_logo.png
bostoncleaners.com,Boston Cleaners,cleaning,"{""street"":""202 Beacon St"",""city"":""Boston"",""state"":""MA"",""country"":""US""}",617-555-0202,contact@bostoncleaners.com,Boston Cleaners in Boston,"Boston's Best Cleaning Service","Residential and commercial cleaning in Boston, MA.",boston_logo.png
sandiegoroofers.com,San Diego Roofers,roofing,"{""street"":""303 Ocean Ave"",""city"":""San Diego"",""state"":""CA"",""country"":""US""}",858-555-0303,hello@sandiegoroofers.com,San Diego Roofers in San Diego,"San Diego's Top Roofing Company","Roof repair and installation in San Diego, CA.",sandiego_logo.png
chicagolandscaping.com,Chicagoland Landscaping,landscaping,"{""street"":""404 Lake Shore Dr"",""city"":""Chicago"",""state"":""IL"",""country"":""US""}",312-555-0404,service@chicagolandscaping.com,Chicagoland Landscaping in Chicago,"Chicago's Premier Landscaping","Landscaping solutions in Chicago, IL.",chicago_logo.png
miamihandyman.com,Miami Handyman,handyman,"{""street"":""505 Ocean Dr"",""city"":""Miami"",""state"":""FL"",""country"":""US""}",305-555-0505,help@miamihandyman.com,Miami Handyman in Miami,"Miami's Reliable Handyman","Handyman services in Miami, FL.",miami_logo.png
seattlemovers.com,Seattle Movers,moving,"{""street"":""606 Pine St"",""city"":""Seattle"",""state"":""WA"",""country"":""US""}",206-555-0606,move@seattlemovers.com,Seattle Movers in Seattle,"Seattle's Best Movers","Moving services in Seattle, WA.",seattle_logo.png
phillyelectric.com,Philly Electric,electrician,"{""street"":""707 Market St"",""city"":""Philadelphia"",""state"":""PA"",""country"":""US""}",215-555-0707,info@phillyelectric.com,Philly Electric in Philadelphia,"Philadelphia's Top Electricians","Electrical services in Philadelphia, PA.",philly_logo.png
atlantaac.com,Atlanta AC Pros,ac repair,"{""street"":""808 Peachtree St"",""city"":""Atlanta"",""state"":""GA"",""country"":""US""}",404-555-0808,ac@atlantaac.com,Atlanta AC Pros in Atlanta,"Atlanta's Best AC Repair","AC repair and installation in Atlanta, GA.",atlanta_logo.png
denverpainters.com,Denver Painters,painting,"{""street"":""909 Colfax Ave"",""city"":""Denver"",""state"":""CO"",""country"":""US""}",720-555-0909,paint@denverpainters.com,Denver Painters in Denver,"Denver's Trusted Painters","Painting services in Denver, CO.",denver_logo.png
lasvegaslocksmith.com,Las Vegas Locksmith,locksmith,"{""street"":""1010 Vegas Blvd"",""city"":""Las Vegas"",""state"":""NV"",""country"":""US""}",702-555-1010,lock@lasvegaslocksmith.com,Las Vegas Locksmith in Las Vegas,"Las Vegas 24/7 Locksmith","Locksmith services in Las Vegas, NV.",vegas_logo.png
portlandhvac.com,Portland HVAC,hvac,"{""street"":""1111 Rose St"",""city"":""Portland"",""state"":""OR"",""country"":""US""}",503-555-1111,hvac@portlandhvac.com,Portland HVAC in Portland,"Portland's HVAC Experts","HVAC services in Portland, OR.",portland_logo.png
baltimorelawns.com,Baltimore Lawns,landscaping,"{""street"":""1212 Harbor Rd"",""city"":""Baltimore"",""state"":""MD"",""country"":""US""}",410-555-1212,lawns@baltimorelawns.com,Baltimore Lawns in Baltimore,"Baltimore's Best Lawns","Lawn care in Baltimore, MD.",baltimore_logo.png
phoenixplumbing.com,Phoenix Plumbing,plumber,"{""street"":""1313 Cactus Rd"",""city"":""Phoenix"",""state"":""AZ"",""country"":""US""}",602-555-1313,plumb@phoenixplumbing.com,Phoenix Plumbing in Phoenix,"Phoenix's Plumbing Pros","Plumbing services in Phoenix, AZ.",phoenix_logo.png
dallasjunk.com,Dallas Junk Removal,junk removal,"{""street"":""1414 Elm St"",""city"":""Dallas"",""state"":""TX"",""country"":""US""}",214-555-1414,junk@dallasjunk.com,Dallas Junk Removal in Dallas,"Dallas's Junk Removal Experts","Junk removal in Dallas, TX.",dallas_logo.png
orlandopainting.com,Orlando Painting,painting,"{""street"":""1515 Disney Dr"",""city"":""Orlando"",""state"":""FL"",""country"":""US""}",407-555-1515,paint@orlandopainting.com,Orlando Painting in Orlando,"Orlando's Best Painters","Painting in Orlando, FL.",orlando_logo.png
sanantonioac.com,San Antonio AC,ac repair,"{""street"":""1616 Riverwalk"",""city"":""San Antonio"",""state"":""TX"",""country"":""US""}",210-555-1616,ac@sanantonioac.com,San Antonio AC in San Antonio,"San Antonio's AC Pros","AC services in San Antonio, TX.",sanantonio_logo.png
